,label,mpid,formula,chemsys,energy,shift,miller,top,0group,0period,0en,0upd,1group,1period,1en,1upd,2group,2period,2en,2upd,3group,3period,3en,3upd,4group,4period,4en,4upd,5group,5period,5en,5upd,6group,6period,6en,6upd,7group,7period,7en,7upd,8group,8period,8en,8upd,9group,9period,9en,9upd,10group,10period,10en,10upd,11group,11period,11en,11upd
47,0,mp-10015,SiOs,"['Os', 'Si']",0.210467024999983,0.0,9,1,8,6,2.2,4,8.0,6.0,2.2,4.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,14,3,1.9,0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0
49,0,mp-10015,SiOs,"['Os', 'Si']",0.253427754999959,0.0,2,0,8,6,2.2,4,8.0,6.0,2.2,4.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,8,6,2.2,4,8.0,6.0,2.2,4.0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0,8.0,6.0,2.2,4.0,8.0,6.0,2.2,4.0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0
51,0,mp-10015,SiOs,"['Os', 'Si']",0.039119214999997,0.0,1,0,8,6,2.2,4,8.0,6.0,2.2,4.0,8.0,6.0,2.2,4.0,8.0,6.0,2.2,4.0,8,6,2.2,4,8.0,6.0,2.2,4.0,8.0,6.0,2.2,4.0,8.0,6.0,2.2,4.0,8.0,6.0,2.2,4.0,8.0,6.0,2.2,4.0,8.0,6.0,2.2,4.0,8.0,6.0,2.2,4.0
52,0,mp-10015,SiOs,"['Os', 'Si']",0.374942275000021,0.0,2,1,14,3,1.9,0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,8,6,2.2,4,8.0,6.0,2.2,4.0,8.0,6.0,2.2,4.0,8.0,6.0,2.2,4.0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792
53,0,mp-10015,SiOs,"['Os', 'Si']",0.371968875000047,0.083333333333333,2,1,14,3,1.9,0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,8,6,2.2,4,8.0,6.0,2.2,4.0,8.0,6.0,2.2,4.0,8.0,6.0,2.2,4.0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792
55,0,mp-10032,Ge2Os,"['Ge', 'Os']",-0.591945394999984,0.09989871,20,1,8,6,2.2,4,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,14,4,2.01,0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792
56,0,mp-10032,Ge2Os,"['Ge', 'Os']",0.06306399499999,0.09989871,20,0,14,4,2.01,0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,14,4,2.01,0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,8.0,6.0,2.2,4.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792
59,0,mp-10032,Ge2Os,"['Ge', 'Os']",0.322328064999991,0.09989871,20,0,14,4,2.01,0,14.0,4.0,2.01,0.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,14,4,2.01,0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0
61,0,mp-10032,Ge2Os,"['Ge', 'Os']",-0.8842362949999961,0.09989871,20,1,8,6,2.2,4,8.0,6.0,2.2,4.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,14,4,2.01,0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0
64,0,mp-10032,Ge2Os,"['Ge', 'Os']",-0.632782664999981,0.09989871,20,1,8,6,2.2,4,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,14,4,2.01,0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,14.0,4.0,2.01,0.0,8.0,6.0,2.2,4.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792
